permission,protection_level,orginal
com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.reader,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.geowiki,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.grandcentral,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.adwords,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.mail,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.adsense,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.local,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES,signature
com.google.android.googleapps.permission.GOOGLE_AUTH.cp,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.wifi,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.cl,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.mobile,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.gbase,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.panoramio,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.finance,dangerous
com.google.android.gms.permission.GAMES_DEBUG_SETTINGS,signature
com.google.android.gms.permission.CHECKIN_NOW,signature
com.google.android.gms.permission.INTERNAL_BROADCAST,signature
com.google.android.gms.trustagent.permission.TRUSTAGENT_STATE,signature
android.permission.CONTROL_WIFI_DISPLAY,signature
com.google.android.providers.settings.permission.READ_GSETTINGS,signature
com.google.android.gms.magictether.permission.TEST_NOTIFICATION,signature
com.google.android.gms.chromesync.permission.CONTENT_PROVIDER_ACCESS,signature
android.permission.FILTER_EVENTS,signature
android.permission.RETRIEVE_WINDOW_INFO,signature
com.google.android.gms.permission.SHOW_WARM_WELCOME_TAPANDPAY_APP,signature
android.server.checkin.CHECKIN.permission.C2D_MESSAGE,signature
com.google.android.gms.permission.CONTACTS_SYNC_DELEGATION,signature
com.google.android.gms.auth.permission.GOOGLE_ACCOUNT_CHANGE,signature
com.google.android.gms.permission.SHOW_TRANSACTION_RECEIPT,signature
com.google.android.gsf.permission.CONNECTION,signature
com.google.android.gms.permission.C2D_MESSAGE,signature
com.google.android.gms.permission.APPINDEXING,signature
com.google.android.providers.settings.permission.WRITE_GSETTINGS,signature
com.google.android.gms.chimera.permission.CONFIG_CHANGE,signature
android.permission.MAGNIFY_DISPLAY,signature
com.google.android.gms.permission.BROADCAST_TO_GOOGLEHELP,signature
com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD,signature
android.permission.CONFIGURE_WIFI_DISPLAY,signature
com.google.android.gms.magictether.permission.CONNECTED_HOST_CHANGED,signature
com.google.android.gms.auth.permission.POST_SIGN_IN_ACCOUNT,signature
com.google.android.gms.magictether.permission.SCANNED_DEVICE,signature
com.google.android.gms.auth.authzen.permission.GCM_DEVICE_PROXIMITY,signature
com.google.android.gms.permission.READ_VALUABLES_IMAGES,signature
com.google.android.googleapps.permission.GOOGLE_MAIL_SWITCH,signature
com.google.android.gms.auth.authzen.permission.DEVICE_SYNC_FINISHED,signature
com.google.android.gsf.permission.C2D_MESSAGE,signature
com.google.android.providers.gsf.permission.WRITE_GSERVICES,signatureOrSystem
com.google.android.gsf.subscribedfeeds.permission.C2D_MESSAGE,signature
com.google.googlenav.friend.permission.OPT_IN,signature
com.google.android.gms.auth.api.signin.permission.REVOCATION_NOTIFICATION,signature
com.google.android.gms.permission.BIND_NETWORK_TASK_SERVICE,signature
com.google.android.apps.maps.permission.C2D_MESSAGE,signature
com.google.android.gms.permission.SHOW_PAYMENT_CARD_DETAILS,signature
com.google.android.gms.auth.permission.FACE_UNLOCK,signature
com.google.android.gms.permission.REPORT_TAP,signature
com.google.android.apps.maps.permission.PREFETCH,signature
com.google.android.gms.permission.CAR,signature
com.google.android.gms.chromesync.permission.METADATA_UPDATED,signature
android.permission.FREEZE_SCREEN,signature
com.google.android.gms.permission.AD_ID_NOTIFICATION,normal
android.permission.TEMPORARY_ENABLE_ACCESSIBILITY,signature
android.permission.CAMERA_DISABLE_TRANSMIT_LED,signatureOrSystem
android.permission.LOOP_RADIO,signatureOrSystem
android.permission.LOCATION_HARDWARE,signatureOrSystem
android.permission.GET_APP_OPS_STATS,signatureOrSystem
android.permission.SEND_RESPOND_VIA_MESSAGE,signatureOrSystem
android.permission.GET_TOP_ACTIVITY_INFO,signature
android.permission.UPDATE_APP_OPS_STATS,signatureOrSystem
android.permission.ACCESS_NOTIFICATIONS,signatureOrSystem
android.permission.BIND_NOTIFICATION_LISTENER_SERVICE,signature
android.permission.TRANSMIT_IR,normal
android.permission.MANAGE_ACTIVITY_STACKS,signature
com.google.android.gms.permission.CAR_SPEED,dangerous
android.permission.BIND_CALL_SERVICE,signatureOrSystem
com.android.launcher3.permission.UNINSTALL_SHORTCUT,dangerous
com.android.launcher3.permission.PRELOAD_WORKSPACE,signatureOrSystem
com.android.launcher3.permission.INSTALL_SHORTCUT,dangerous
com.android.launcher3.permission.WRITE_SETTINGS,normal
android.permission.BATTERY_STATS,signatureOrSystem
com.android.launcher3.permission.READ_SETTINGS,normal
com.android.launcher.permission.WRITE_SETTINGS,normal
android.permission.BLUETOOTH_PRIVILEGED,signatureOrSystem
com.google.android.gms.permission.CAR_MILEAGE,dangerous
com.google.android.gms.permission.CAR_VENDOR_EXTENSION,dangerous
com.google.android.gms.permission.CAR_FUEL,dangerous
android.permission.MANAGE_DOCUMENTS,signatureOrSystem
com.android.voicemail.permission.READ_WRITE_ALL_VOICEMAIL,signatureOrSystem
com.google.android.gms.auth.authzen.permission.KEY_REGISTRATION_FINISHED,signature
com.android.launcher3.permission.RECEIVE_LAUNCH_BROADCASTS,signature
com.google.android.gms.permission.GROWTH,signature
com.google.android.gms.matchstick.permission.BROADCAST_LIGHTER_WEB_INFO,signature
com.google.android.gms.magictether.permission.CLIENT_TETHERING_PREFERENCE_CHANGED,signature
com.google.android.gms.permission.BIND_PAYMENTS_CALLBACK_SERVICE,signature
android.permission.MMS_SEND_OUTBOX_MSG,signatureOrSystem
android.permission.BIND_REMOTE_DISPLAY,signature
android.permission.MEDIA_CONTENT_CONTROL,signatureOrSystem
android.permission.CAPTURE_AUDIO_OUTPUT,signatureOrSystem
android.permission.BIND_NFC_SERVICE,signature
com.google.android.gms.permission.SAFETY_NET,signature
android.permission.ACCESS_NETWORK_CONDITIONS,signatureOrSystem
com.google.android.gms.game.notifications.permission.WRITE,signature
android.permission.INVOKE_CARRIER_SETUP,signatureOrSystem
com.google.android.gms.auth.api.phone.permission.SEND,signature
android.permission.MANAGE_DEVICE_ADMINS,signatureOrSystem
com.google.android.gms.permission.PHENOTYPE_UPDATE_BROADCAST,signature
android.permission.BIND_PRINT_SPOOLER_SERVICE,signature
com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN,signature
com.google.android.gms.permission.GOOGLE_PAY,signature
com.google.android.googlequicksearchbox.permission.C2D_MESSAGE,signature
com.google.android.gms.game.notifications.permission.READ,signature
com.google.android.calendar.permission.C2D_MESSAGE,signature
android.permission.ACCESS_KEYGUARD_SECURE_STORAGE,signature
com.google.android.gms.permission.GRANT_WALLPAPER_PERMISSIONS,signature
android.permission.CONTROL_KEYGUARD,signature
android.permission.MARK_NETWORK_SOCKET,signatureOrSystem
android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,signatureOrSystem
com.google.android.gms.permission.REQUEST_SCREEN_LOCK_COMPLEXITY,normal
com.google.android.gms.permission.TRANSFER_WIFI_CREDENTIAL,normal
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS,signature
com.google.android.gms.permission.NEARBY_START_DISCOVERER,signature
com.google.android.gms.auth.proximity.permission.SMS_CONNECT_SETUP_REQUESTED,signature
com.google.android.gms.permission.PHENOTYPE_OVERRIDE_FLAGS,signature
com.google.android.gms.chimera.permission.QUERY_MODULES,signature
android.permission.START_PRINT_SERVICE_CONFIG_ACTIVITY,signature
android.permission.CAPTURE_VIDEO_OUTPUT,signatureOrSystem
android.permission.CAPTURE_AUDIO_HOTWORD,signatureOrSystem
com.google.android.gms.auth.cryptauth.permission.KEY_CHANGE,signature
android.permission.BIND_PRINT_SERVICE,signature
android.permission.MANAGE_CA_CERTIFICATES,signatureOrSystem
com.google.android.gms.magictether.permission.DISABLE_SOFT_AP,signature
android.permission.RECOVERY,signatureOrSystem
android.permission.READ_DREAM_STATE,signatureOrSystem
android.permission.READ_SEARCH_INDEXABLES,signatureOrSystem
android.permission.START_TASKS_FROM_RECENTS,signatureOrSystem
android.permission.WRITE_DREAM_STATE,signatureOrSystem
android.permission.FORCE_STOP_PACKAGES,signatureOrSystem
android.permission.OEM_UNLOCK_STATE,signature
android.permission.MANAGE_DOCUMENTS,signature
android.permission.BODY_SENSORS,normal
android.permission.BLUETOOTH_MAP,signature
android.permission.READ_PRECISE_PHONE_STATE,signatureOrSystem
android.permission.BIND_INCALL_SERVICE,signatureOrSystem
android.permission.CONTROL_INCALL_EXPERIENCE,signatureOrSystem
android.permission.BIND_CONNECTION_SERVICE,signatureOrSystem
com.android.voicemail.permission.READ_VOICEMAIL,signatureOrSystem
com.android.voicemail.permission.WRITE_VOICEMAIL,signatureOrSystem
android.permission.GET_TASKS,normal
android.permission.MANAGE_ACTIVITY_STACKS,signatureOrSystem
android.permission.REAL_GET_TASKS,signatureOrSystem
android.permission.SCORE_NETWORKS,signatureOrSystem
android.permission.READ_WIFI_CREDENTIAL,signatureOrSystem
com.google.android.gm.email.permission.READ_ATTACHMENT,dangerous
com.google.android.gm.permission.READ_CONTENT_PROVIDER,dangerous
com.google.android.gm.permission.READ_GMAIL,signature
com.google.android.gm.permission.WRITE_GMAIL,signature
android.permission.RECEIVE_BLUETOOTH_MAP,signatureOrSystem
com.google.android.gm.permission.AUTO_SEND,signature
android.permission.ACCESS_INPUT_FLINGER,signature
android.permission.MANAGE_MEDIA_PROJECTION,signature
android.permission.BIND_DREAM_SERVICE,signature
com.google.android.gms.permission.SEND_ANDROID_PAY_DATA,signature
android.permission.MODIFY_AUDIO_ROUTING,signatureOrSystem
android.permission.CAPTURE_TV_INPUT,signatureOrSystem
android.permission.TV_INPUT_HARDWARE,signatureOrSystem
android.permission.READ_INSTALL_SESSIONS,normal
android.permission.USER_ACTIVITY,signatureOrSystem
android.permission.BIND_VOICE_INTERACTION,signature
android.permission.PROCESS_CALLLOG_INFO,signatureOrSystem
android.permission.NFC_HANDOVER_STATUS,signatureOrSystem
android.permission.BIND_TV_INPUT,signatureOrSystem
android.permission.MANAGE_VOICE_KEYPHRASES,signatureOrSystem
android.permission.LAUNCH_TRUST_AGENT_SETTINGS,signatureOrSystem
com.google.android.gms.learning.permission.LAUNCH_IN_APP_PROXY,signature
android.permission.SET_INPUT_CALIBRATION,signature
android.permission.BIND_CONDITION_PROVIDER_SERVICE,signature
android.permission.BIND_JOB_SERVICE,signature
android.permission.REMOVE_DRM_CERTIFICATES,signatureOrSystem
android.permission.RETRIEVE_WINDOW_TOKEN,signature
